
************************************************************
Session started: 2026-05-15 12:01:40.140119
************************************************************
[MEDIUM] 05/15-12:20:16.083000 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.083613 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.084218 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.084218 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.084854 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.085579 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.085579 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.086342 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:20:16.087276 | HTTP port scan detected | 192.168.243.10 -> 192.168.243.20
[CRITICAL] 05/15-12:20:16.087276 | TCP SYN flood detected | 192.168.243.10 -> 192.168.243.20
